epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82196,1.24903,2.19883,1.54972,1,0.24696,0.53337,0.35374,1.04448,2.64519,1.2465,0.00056,0.00056,0.00056
2,14.058,0.99494,1.3192,1.25057,0.53083,0.28003,0.32018,0.20154,1.15417,2.53699,1.35542,0.00111743,0.00111743,0.00111743
3,20.1847,1.04717,1.16272,1.24882,0.84276,0.59866,0.65744,0.43303,1.29279,1.70175,1.66088,0.00165189,0.00165189,0.00165189
4,26.2453,1.07213,1.13894,1.25502,0.71432,0.4934,0.6461,0.40207,1.19418,1.42957,1.37186,0.0018812,0.0018812,0.0018812
5,32.1904,1.03375,1.02381,1.25681,0.61746,0.74916,0.77638,0.52821,1.08838,1.29446,1.31613,0.0018416,0.0018416,0.0018416
6,38.0721,0.99446,0.93878,1.22732,0.95806,0.88963,0.95952,0.67761,1.03548,1.14421,1.37387,0.001802,0.001802,0.001802
7,44.0492,1.05194,0.89341,1.2885,0.8695,0.89298,0.94578,0.63101,0.94822,0.9621,1.2043,0.0017624,0.0017624,0.0017624
8,50.0025,0.96248,0.80898,1.2095,0.88377,0.94649,0.9641,0.69331,0.90999,0.81885,1.18752,0.0017228,0.0017228,0.0017228
9,55.8167,0.94104,0.76227,1.16887,0.9689,0.78595,0.83027,0.60561,0.91199,0.804,1.17388,0.0016832,0.0016832,0.0016832
10,61.7277,0.96981,0.74905,1.198,0.9476,0.95652,0.97936,0.74452,0.83893,0.66509,1.14383,0.0016436,0.0016436,0.0016436
11,67.7045,0.92906,0.74604,1.16231,0.93845,0.9689,0.98236,0.69357,0.94586,0.71014,1.19224,0.001604,0.001604,0.001604
12,73.5975,0.85634,0.65617,1.1537,0.91109,0.95967,0.97052,0.72905,0.84673,0.6411,1.09571,0.0015644,0.0015644,0.0015644
